"category","country","value","category_split"
"Mobility","Brazil",0.346,"Pix"
"Mobility","Chile",0.024,"Bank transfers"
"Mobility","Colombia",0.4,"Bank transfers"
"Mobility","India",0.74,"UPI"
"Mobility","Mexico",0.02,"Bank transfers"
"Mobility","Nigeria",0.13,"Bank transfers"
"Mobility","South Africa",0.14,"Bank transfers"
"Retail","Argentina",0.031,"Bank transfers"
"Retail","Brazil",0.36,"Pix"
"Retail","Chile",0.078,"Bank transfers"
"Retail","Colombia",0.396,"Bank transfers"
"Retail","India",0.57,"UPI"
"Retail","Kenya",0.001,"Bank transfers"
"Retail","Mexico",0.07,"Bank transfers"
"Retail","Nigeria",0.32,"Bank transfers"
"Retail","Peru",0.031,"Bank transfers"
"Retail","Philippines",0.22,"Bank transfers"
"Retail","South Africa",0.21,"Bank transfers"
"Streaming","Brazil",0.03,"Pix"
"Streaming","Chile",0.025,"Bank transfers"
"Streaming","India",0.8,"UPI"
"Streaming","Kenya",0.005,"Bank transfers"
"Streaming","Mexico",0.07,"Bank transfers"
"Streaming","Nigeria",0.13,"Bank transfers"
"Streaming","Peru",0.02,"Bank transfers"
"Streaming","South Africa",0.16,"Bank transfers"
