"country","merchant_vertical_commercial","metodo_de_pagamento_ajustado","source","type","value"
"Brazil","Social Media","Boleto","PCMI","pct_tpv_ebanx_b2b",0.02
"Brazil","Social Media","Boleto","PCMI","market_average",0.05
"Brazil","Social Media","Credit Card","PCMI","pct_tpv_ebanx_b2b",0.42
"Brazil","Social Media","Credit Card","PCMI","market_average",0.6
"Brazil","Social Media","Pix","PCMI","pct_tpv_ebanx_b2b",0.55
"Brazil","Social Media","Pix","PCMI","market_average",0.18
"Brazil","Social Media","Other","PCMI","pct_tpv_ebanx_b2b",0
"Brazil","Social Media","Other","PCMI","market_average",0.17
"Brazil","Travel","Boleto","PCMI","pct_tpv_ebanx_b2b",0.43
"Brazil","Travel","Boleto","PCMI","market_average",0.07
"Brazil","Travel","Credit Card","PCMI","pct_tpv_ebanx_b2b",0.08
"Brazil","Travel","Credit Card","PCMI","market_average",0.47
"Brazil","Travel","Pix","PCMI","pct_tpv_ebanx_b2b",0.49
"Brazil","Travel","Pix","PCMI","market_average",0.36
"Brazil","Travel","Other","PCMI","pct_tpv_ebanx_b2b",0
"Brazil","Travel","Other","PCMI","market_average",0.1
